date,Sirta_GHI,Sat_GHI,Clearsky_GHI,Arpege_GHI,SZA,Kc_Sat_mean,Kc_Sat_std,Kc_obs,Wreg
2019-03-29 17:11:00,121.99133333333332,138.87159019754387,139.86108983600224,108.35242596666666,80.000182218989,0.9260765204624254,0.06025145479004039,0.8722321088472672,1
2019-03-29 17:26:00,97.54333333333332,99.93118350579971,100.6940002178167,67.64437046666666,82.4631902885229,0.9407545048363356,0.03866827269945024,0.9687104804887283,1
2019-03-29 17:41:00,60.82933333333333,63.701113771027224,64.16151596529204,46.25903030508475,84.93338116374672,0.9507837210382734,0.04198106754830547,0.9480657122602707,1
2019-03-30 12:56:00,742.9299999999997,659.6222974932748,693.8064449439515,610.2788160163933,46.74654055610929,1.0024125235421315,0.030393317381342905,1.0708029673319288,1
2019-03-30 13:11:00,725.1346666666664,653.0995067041886,680.2370057755925,607.6053188032787,47.72306450856536,1.0061850620775807,0.030216138754208224,1.066002967362651,1
2019-03-30 13:26:00,707.5199999999996,643.1630762648359,663.4570233269186,604.9318215901641,48.888021042826395,1.0032811018885401,0.02875088473232458,1.0664142139186745,1
2019-03-30 13:41:00,688.4899999999997,628.0100081346998,643.5672959595703,589.6085463666667,50.227084268568326,0.9983018709688771,0.0262729333755958,1.069802652065234,1
2019-03-30 13:56:00,663.6466666666666,609.6145925164642,620.6882935866868,569.6853518666667,51.725317884501045,0.9938910980613864,0.02586721395855736,1.0692108640099238,1
2019-03-30 14:11:00,639.4399999999998,582.8483912180694,594.9600707804941,549.7621573666668,53.36770504363522,0.9971331272806441,0.0226585458651996,1.0747612006317584,1
2019-03-30 14:26:00,607.8319999999998,557.0593065788355,566.5422347323638,529.8389628666666,55.13955799979142,0.9878813685203084,0.024197693778513864,1.0728802951242309,1
2019-03-30 14:41:00,576.1219999999996,527.0487674622608,535.6140102856622,498.7159886101695,57.02680804252776,0.9955609817894138,0.024850454662396458,1.075629070443346,1
2019-03-30 14:56:00,542.2386666666663,494.8860018811563,502.3744643641094,463.5203671694915,59.016187177518,0.9985329192511888,0.02170470567128556,1.0793515696563436,1
2019-03-30 15:11:00,504.59199999999976,460.80186375183507,467.04298416239965,428.32474572881347,61.09532135896404,0.9955397029312291,0.027305055843239084,1.0803973448074398,1
2019-03-30 15:26:00,464.09799999999984,424.0446873845102,429.86014411708237,393.1291242881356,63.25275691712032,0.9981652425259959,0.031146749189490064,1.0796488261391175,1
2019-03-30 15:41:00,424.1406666666664,387.11724664835486,391.0891725186754,354.41109298360647,65.47793766516043,0.9866354745261524,0.030297382890265963,1.0845114016712203,1
2019-03-30 15:56:00,381.87399999999985,348.0675202750859,351.01835669758935,314.8124592131147,67.76114935000939,0.9948725773363696,0.02896597203143165,1.087903218488922,1
2019-03-30 16:11:00,210.3119999999997,307.6220005069627,309.9649388192467,275.2138254426229,70.09344482378833,1.035800470381367,0.046245756725563636,0.6785025454851243,1
2019-03-30 16:26:00,108.1479999999997,266.74915163799886,268.28146077051275,235.61519167213115,72.46655721419138,1.0314826612569847,0.04714483389998176,0.4031139523744774,1
2019-03-30 16:41:00,230.65866666666642,225.0366276451115,226.3663085118456,194.92767635,74.87280821665453,0.9767612097214681,0.03770394217032098,1.018962000940154,1
2019-03-30 16:56:00,207.52733333333302,182.8217995081263,184.68184658555543,153.84420409999996,77.30501659381798,0.9762998466589012,0.03086232488994354,1.1237018535939005,1
2019-03-30 17:11:00,160.28066666666638,141.8153254177706,143.78727697951254,112.76073185,79.75640739378389,0.9527349800479656,0.033913094654414264,1.114706878338783,1
2019-03-30 17:26:00,116.4399999999997,102.13837715635418,104.40278616019079,71.67725960000001,82.2205240804913,0.9672047374199848,0.028468759624359036,1.1152959061967902,1
2019-03-30 17:41:00,76.28999999999971,65.8796704987133,67.54866982784989,49.47639384745763,84.69114504670871,0.9582454720321968,0.03748478869840564,1.1294078801910887,1
2019-03-31 12:56:00,731.6560000000003,657.3947411480286,698.9238808800662,691.5506736557378,46.387336666611965,1.015232386637707,0.03347988971565928,1.0468321658700783,1
2019-03-31 13:11:00,699.7526666666665,658.3344867390263,685.290772878114,676.9346901311476,47.37328778723605,1.002541301201801,0.03731693611067359,1.0211032956533397,1
2019-03-31 13:26:00,704.2613333333335,641.7321362983139,668.4488926208634,662.3187066065574,48.54807870139938,0.995358996245326,0.02764116421060924,1.0535754357704987,1
2019-03-31 13:41:00,628.6659999999998,622.0824050936964,648.4991073069049,638.4913517000001,49.89713490648713,0.9932162031835441,0.04111531942379831,0.9694169088539408,1
2019-03-31 13:56:00,662.6813333333333,600.3615900095125,625.5618702515924,611.3144072000001,51.40529791727071,0.9870625782986076,0.0387966512251744,1.059337796702366,1
2019-03-31 14:11:00,619.9480000000002,578.6038942657351,599.7771224164313,584.1374627,53.05736250345725,0.9804755364145552,0.04515870753816354,1.033630621825492,1
2019-03-31 14:26:00,596.0766666666665,550.5819460252806,571.3042449455294,556.9605182,54.83848874426179,0.9344722409637608,0.08584728747944383,1.0433611721605518,1
2019-03-31 14:41:00,573.9553333333333,519.636956476632,540.3221034109047,522.1943783220338,56.734490682231815,0.9874700636279826,0.06156229749817869,1.0622466297604916,1
2019-03-31 14:56:00,536.7913333333332,491.34059637988497,507.0292437404512,484.6685310338983,58.732014383713434,0.962976786555076,0.05419507297229188,1.0586989605832622,1
2019-03-31 15:11:00,514.2426666666665,462.0799406728697,471.64433064168924,447.1426837457627,60.818626389614494,0.9495303265902459,0.07842595749873438,1.0903187704324162,1
2019-03-31 15:26:00,383.4159999999997,427.037961409768,434.40695771705873,409.61683645762713,62.982835064997424,0.9701866373723868,0.08534267415047701,0.8826193807184118,1
2019-03-31 15:41:00,359.27466666666646,388.2714386652855,395.5790306225808,368.48183086885246,65.21406287545142,0.9563870089394706,0.054853121765700105,0.9082247511988267,1
2019-03-31 15:56:00,382.5453333333332,349.7817962506688,355.4470459372116,326.44453570491805,67.50258656525342,0.941685222849554,0.04907670408656637,1.0762371996218767,1
2019-03-31 16:11:00,345.49399999999986,309.6925226584487,314.3257887104488,284.4072405409836,69.83945873350821,0.9489488504370864,0.04704237673017213,1.0991589376659852,1
2019-03-31 16:26:00,218.6259999999998,268.1711517052119,272.5643526431269,242.3699453770492,72.21641809079931,0.9451050977317654,0.053837660559383625,0.8021078247391012,1
2019-03-31 16:41:00,216.9539999999997,227.10343990366005,230.5561245176993,200.6924443833333,74.62579546925845,0.9013546863380744,0.09246948470247608,0.9410029790093241,1
2019-03-31 16:56:00,170.67199999999985,186.09405442701458,188.75589030820763,159.14577763333338,77.06042058629362,0.8011017526899066,0.12994858251268235,0.904194299427267,1
2019-03-31 17:11:00,164.75266666666647,145.60190766169978,147.7106496191507,117.59911088333334,79.51352998670473,0.8076375917512544,0.09205240944315962,1.1153743287397084,1
2019-03-31 17:26:00,102.00333333333315,106.74270048032568,108.11926347351502,76.05244413333331,81.97867827793573,0.8081814744034592,0.07955804169478592,0.9434334831398473,1
2019-03-31 17:41:00,59.952666666666495,69.67443463713343,70.96025522291012,52.94956654237289,84.44965405668701,0.7738225095126093,0.1019840562825578,0.8448767056760849,1
2019-04-01 12:56:00,711.0273333333334,616.1843754442405,726.7863301101017,685.4837065409837,46.02967077945871,0.9706833204444574,0.021629252716053024,0.9783168778444402,2
2019-04-01 13:11:00,701.9786666666668,611.2366834876557,713.0622516280922,671.6749635081967,47.02509799578396,0.9694197554977572,0.02249290543968801,0.9844563571607963,2
2019-04-01 13:26:00,685.4980000000003,609.1494241000928,696.1172696585909,657.8662204754098,48.2097622755841,0.9634674872670856,0.019602955610286858,0.9847449989801305,2
2019-04-01 13:41:00,664.2873333333338,600.6300666592557,676.0476154151858,634.8634074166666,49.56883750955515,0.9554224026446441,0.019409679780168314,0.9826043583119074,2
2019-04-01 13:56:00,642.8240000000002,583.8185101223635,652.9680401429582,608.5172961666667,51.08694137870183,0.957008670787422,0.018596769131971273,0.9844647218250726,2
2019-04-01 14:11:00,612.4833333333337,577.7872599787563,627.0116670324254,582.1711849166667,52.74867983335186,0.9574384665002628,0.017461046547617976,0.9768292450316711,2
2019-04-01 14:26:00,581.3466666666669,552.6262660357687,598.3298756804128,555.8250736666666,54.53906130523478,0.9458517894452932,0.029054718361262367,0.971615642634537,2
2019-04-01 14:41:00,548.7680000000003,525.1865231189694,567.0922529756392,503.3604327627119,56.44378378811718,0.9465370506656412,0.016138145034226174,0.9676873509036877,2
2019-04-01 14:56:00,516.1886666666671,495.7781004724265,533.4866606573629,441.3981447118644,58.449409010323826,0.9342755334717888,0.03663357864227988,0.9675755829220151,2
2019-04-01 15:11:00,482.40600000000063,463.39196490063756,497.7194960975722,379.43585666101694,60.543445882780645,0.9438820700256192,0.026198388563277046,0.9692326778082057,2
2019-04-01 15:26:00,439.9193333333339,428.33956845536386,460.0162543098299,317.47356861016937,62.71436661069674,0.9352854392966444,0.02702176425971526,0.9563125850701781,2
2019-04-01 15:41:00,393.1113333333338,392.55895772755514,420.6225602078894,290.9724770983606,64.95157403495375,0.8806067194257464,0.08735316965204536,0.9345940292385686,2
2019-04-01 15:56:00,354.60666666666697,355.7376621162565,379.80594301098176,273.3366847213115,67.24533747719988,0.8858537819920754,0.053138606371397626,0.9336522326519093,2
